"Preparing","field_business_flat:investment.png","-6381922"
"Published","field_business_flat:investor.png","-3361793"
"Saled","field_material:ic_local_atm_128.png","-10453621"
"Rejected","field_material:ic_call_missed_128.png","-1499549"
"Lost","field_business_flat:risk.png","-769226"
"Catched","field_business_flat:hand_handshake.png","-16738680"
